year;field;field_name;planting_date;latitude;longitude;Dias_a_R1;MAT;repNumber;set_rm
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;130;1;8.5
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;128;1;8.5
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;133;1;8.7
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;130;1;8.5
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;127.5;1;8.5
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;128;1;8.3
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;129;1;8.4
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;127;1;8.5
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;128.5;1;8.3
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;137;1;9
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;128;1;8.5
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;134;1;8.7
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;131;1;8.6
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;132;1;8.7
2015;RV;2015_RV_DJ42331_-12.81331;23/11/2015;-12.81331;-46.09679;60;129;1;8.3
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;38;103.5;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;48;108;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;40;102;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;40;102;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;40;102;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;44;110;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;44;110;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;39;102;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;44;110;2;7.2
2015;HH2C;2015_HH2C_DJ42347_-18.09216;09/12/2015;-18.09216;-48.03882;44;110;2;7.2
2015;F13;2015_F13_DJ42311_-17.8986383;03/11/2015;-17.8986383;-49.2382245;37;106.5;1;6.6
2015;F13;2015_F13_DJ42311_-17.8986383;03/11/2015;-17.8986383;-49.2382245;38;113;1;6.9
2015;F13;2015_F13_DJ42311_-17.8986383;03/11/2015;-17.8986383;-49.2382245;36;110;1;6.7
2015;F13;2015_F13_DJ42311_-17.8986383;03/11/2015;-17.8986383;-49.2382245;37;111.5;1;6.8
2015;F13;2015_F13_DJ42311_-17.8986383;03/11/2015;-17.8986383;-49.2382245;35;114;1;7
2015;F13;2015_F13_DJ42311_-17.8986383;03/11/2015;-17.8986383;-49.2382245;35;111;1;6.4
2015;F17;2015_F17_DJ42311_-17.89876;03/11/2015;-17.89876;-49.2386749;39;117;1;7.3
2015;F17;2015_F17_DJ42311_-17.89876;03/11/2015;-17.89876;-49.2386749;39;116;1;7.1
2015;F17;2015_F17_DJ42311_-17.89876;03/11/2015;-17.89876;-49.2386749;40;120;1;7.5
2015;F17;2015_F17_DJ42311_-17.89876;03/11/2015;-17.89876;-49.2386749;41;120;1;7.6
2015;F17;2015_F17_DJ42311_-17.89876;03/11/2015;-17.89876;-49.2386749;36;114;1;7
2015;F21;2015_F21_DJ42307_-17.8988813;30/10/2015;-17.8988813;-49.2390983;44;120;1;7.7
2015;F21;2015_F21_DJ42307_-17.8988813;30/10/2015;-17.8988813;-49.2390983;36.5;117;1;7.5
2015;F21;2015_F21_DJ42307_-17.8988813;30/10/2015;-17.8988813;-49.2390983;50;128;1;8
2015;F21;2015_F21_DJ42307_-17.8988813;30/10/2015;-17.8988813;-49.2390983;43.5;124;1;7.8
2015;F16;2015_F16_DJ42306_-17.8969688999999;29/10/2015;-17.8969689;-49.2392416;38;108;1;6.9
2015;MR2A;2015_MR2A_DJ42340_-17.90456;02/12/2015;-17.90456;-49.24485;36;104;2;8
2015;MR2A;2015_MR2A_DJ42340_-17.90456;02/12/2015;-17.90456;-49.24485;54;123;2;8
2015;MR2A;2015_MR2A_DJ42340_-17.90456;02/12/2015;-17.90456;-49.24485;36;104;2;6
2015;MR2B;2015_MR2B_DJ42352_-17.90386;14/12/2015;-17.90386;-49.24525;39;101;2;8
2015;MR2B;2015_MR2B_DJ42352_-17.90386;14/12/2015;-17.90386;-49.24525;51;118;2;8
2015;MR2B;2015_MR2B_DJ42352_-17.90386;14/12/2015;-17.90386;-49.24525;41;102;2;6
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;48;116;1;7.7
2015;RV1;2015_RV1_DJ42310_-17.7842075;02/11/2015;-17.7842075;-51.0836336;41;103;1;6.6
